text,label
integrate x e^x,INTEGRATE_FUNCTION
complete the missing function in this loop,COMPLETE_CODE
Generate related work.,LITERATURE_REVIEW
simplify the expression 3x^2 + 2x - 5,SIMPLIFY_EXPRESSION
sketch the respiratory system and label its parts,DRAW_LABELED_DIAGRAM
make quiz questions for data structures,CREATE_QUIZ
generate Arduino code to blink an LED,GENERATE_CODE
factor the expression 2x^2 + 7x + 3,FACTOR_EXPRESSION
complete the missing function in this merge sort,COMPLETE_CODE
compute d/dx of e^x,DIFFERENTIATE_FUNCTION
review this graph for title,VISUALIZATION_IMPROVEMENT
do a dimensional analysis of v = u + at,UNIT_ANALYSIS
find an analogy to help me understand limits,ANALOGY_GENERATION
can this merge sort be optimized,OPTIMIZE_CODE
what are real-world applications of attention mechanisms,REAL_WORLD_APPLICATION
write ROS code for robot navigation,GENERATE_CODE
show me how to solve cos(x)/x with all steps,SOLVE_STEP_BY_STEP
what does the curl of a field actually mean,EXPLAIN_PHYSICAL_MEANING
tell me about virtual memory,EXPLAIN_CONCEPT
verify the correctness of this theorem proof,VERIFY_REASONING
find an analogy to help me understand gradient descent,ANALOGY_GENERATION
condense MPI into key points,SUMMARIZE_NOTES
verify my reasoning about this induction proof,VERIFY_REASONING
make a revision sheet for this research paper,SUMMARIZE_NOTES
why did my model underfitting,MODEL_EXPLANATION
give me the intuition behind dropout,EXPLAIN_INTUITIVELY
write code for a logistic regression in Python,GENERATE_CODE
generate computer networks interview questions,CREATE_QUIZ
how does the uncertainty principle work,EXPLAIN_CONCEPT
evaluate the experimental design of my experiment,CRITIQUE_METHOD
design a system for a distributed system,SYSTEM_DESIGN
derive Maxwell's equations,DERIVE_EQUATION
is my reasoning correct for this induction proof,VERIFY_REASONING
Give me practice questions.,GENERATE_PRACTICE_PROBLEMS
write code for Dijkstra's algorithm in Java,GENERATE_CODE
debug my linked list code,DEBUG_CODE
plot the function y = x^2,GRAPH_FUNCTION
reduce sin^2(x) to simplest form,SIMPLIFY_EXPRESSION
Explain the compiler pipeline stages,EXPLAIN_CONCEPT
what is the antiderivative of e^x sin(x),INTEGRATE_FUNCTION
why does this graph traversal crash,DEBUG_CODE
explain why my model not converging,MODEL_EXPLANATION
what are real-world applications of backpropagation,REAL_WORLD_APPLICATION
give me the intuition behind the chain rule,EXPLAIN_INTUITIVELY
generate CUDA interview questions,CREATE_QUIZ
simplify cos(x)/x,SIMPLIFY_EXPRESSION
Derive Schrodinger's equation.,DERIVE_EQUATION
design an algorithm for detecting cycles in a graph,ALGORITHM_DESIGN
solve this op-amp circuit,CIRCUIT_ANALYSIS
factorize x^2 - 5x + 6,FACTOR_EXPRESSION
fact-check this: the Great Wall is visible from space,FACT_CHECK
is it true that the speed of light is constant,FACT_CHECK
are the units consistent in the energy equation,UNIT_ANALYSIS
derive the compound interest formula,DERIVE_FORMULA
what's a good metaphor for blockchain consensus,ANALOGY_GENERATION
compute d/dx of tan(x),DIFFERENTIATE_FUNCTION
show the derivation of the wave equation,DERIVE_EQUATION
propose a research idea for robotics,RESEARCH_IDEA
fill in the rest of this sorting function,COMPLETE_CODE
do a dimensional analysis of this expression,UNIT_ANALYSIS
where does the volume of a sphere come from,DERIVE_FORMULA
check my proof of this theorem proof,VERIFY_REASONING
finish this my binary search function,COMPLETE_CODE
Draw Gantt chart for CPU scheduling FCFS SJF Round Robin,DRAW_FLOWCHART
prove that the mean value theorem,PROVE_THEOREM
verify the units in the drag equation,UNIT_ANALYSIS
create a quiz on data structures,CREATE_QUIZ
find the error in my derivation,FIND_ERROR
write a literature review on federated learning,LITERATURE_REVIEW
fix the scaling on this graph,VISUALIZATION_IMPROVEMENT
sketch y = -x^2 + 4,GRAPH_FUNCTION
verify the units in v = u + at,UNIT_ANALYSIS
find the current in this voltage divider,CIRCUIT_ANALYSIS
solve (x^2 - 4)/(x - 2) and explain each step,SOLVE_STEP_BY_STEP
how is dynamic programming used in real life applications,REAL_WORLD_APPLICATION
critique the methodology of this study,CRITIQUE_METHOD
help me interpret these p-values,RESULT_INTERPRETATION
explain the physical meaning of the curl of a field,EXPLAIN_PHYSICAL_MEANING
supervised and unsupervised learning: which is better,COMPARE_METHODS
improve the performance of this dynamic programming solution,OPTIMIZE_CODE
write a literature review on my thesis topic,LITERATURE_REVIEW
Optimize this SQL query.,OPTIMIZE_CODE
graph the curve ln(x),GRAPH_FUNCTION
illustrate the respiratory system with labels,DRAW_LABELED_DIAGRAM
Compare Dijkstra and A* on the same grid,COMPARE_METHODS
give me practice problems for compiler design,GENERATE_PRACTICE_PROBLEMS
